base_time,horizon,predicted,actual,abs_error,actual_gap_hours
2026-07-28 18:00:00+00:00,Day 1 (24h),83.7,81.0,2.7,24.3
2026-07-28 18:00:00+00:00,Day 2 (48h),81.0,82.0,1.0,48.3
2026-07-28 18:00:00+00:00,Day 3 (72h),81.8,92.0,10.2,72.3
2026-07-30 22:00:00+00:00,Day 1 (24h),121.9,91.0,30.9,23.7
2026-07-30 22:00:00+00:00,Day 2 (48h),106.8,88.0,18.8,47.7
2026-07-30 22:00:00+00:00,Day 3 (72h),136.2,76.0,60.2,71.7
2026-08-02 01:00:00+00:00,Day 1 (24h),82.7,82.0,0.7,24.2
2026-08-02 01:00:00+00:00,Day 2 (48h),84.7,84.0,0.7,48.2
2026-08-02 01:00:00+00:00,Day 3 (72h),80.0,80.0,0.0,72.2
2026-08-04 05:00:00+00:00,Day 1 (24h),84.4,78.0,6.4,23.6
2026-08-04 05:00:00+00:00,Day 2 (48h),76.7,85.0,8.3,47.6
2026-08-04 05:00:00+00:00,Day 3 (72h),76.9,73.0,3.9,71.6
2026-08-06 08:00:00+00:00,Day 1 (24h),80.8,72.0,8.8,24.0
2026-08-06 08:00:00+00:00,Day 2 (48h),82.4,77.0,5.4,48.0
2026-08-06 08:00:00+00:00,Day 3 (72h),80.8,77.0,3.8,72.0
2026-08-08 11:20:47.619941+00:00,Day 1 (24h),80.0,77.0,3.0,24.1
2026-08-08 11:20:47.619941+00:00,Day 2 (48h),79.2,70.0,9.2,47.7
2026-08-08 11:20:47.619941+00:00,Day 3 (72h),80.1,77.0,3.1,72.4
2026-08-10 15:00:00+00:00,Day 1 (24h),69.1,77.0,7.9,23.9
2026-08-10 15:00:00+00:00,Day 2 (48h),71.9,72.0,0.1,47.9
2026-08-10 15:00:00+00:00,Day 3 (72h),77.7,74.0,3.7,71.9
2026-08-12 18:00:00+00:00,Day 1 (24h),70.3,74.0,3.7,24.3
2026-08-12 18:00:00+00:00,Day 2 (48h),69.3,74.0,4.7,48.3
2026-08-12 18:00:00+00:00,Day 3 (72h),79.1,71.0,8.1,72.3
2026-08-14 22:00:00+00:00,Day 1 (24h),67.4,70.0,2.6,23.7
2026-08-14 22:00:00+00:00,Day 2 (48h),66.3,69.0,2.7,47.7
2026-08-14 22:00:00+00:00,Day 3 (72h),81.8,68.0,13.8,71.7
2026-08-17 01:00:00+00:00,Day 1 (24h),65.5,72.0,6.5,24.2
2026-08-17 01:00:00+00:00,Day 2 (48h),65.9,64.0,1.9,48.2
2026-08-17 01:00:00+00:00,Day 3 (72h),72.8,61.0,11.8,72.2
2026-08-19 04:28:35.175209+00:00,Day 1 (24h),64.4,60.0,4.4,24.1
2026-08-19 04:28:35.175209+00:00,Day 2 (48h),64.1,62.0,2.1,48.1
2026-08-19 04:28:35.175209+00:00,Day 3 (72h),70.9,66.0,4.9,72.0
2026-08-21 08:00:00+00:00,Day 1 (24h),70.5,67.0,3.5,24.0
2026-08-21 08:00:00+00:00,Day 2 (48h),68.1,73.0,4.9,48.0
2026-08-21 08:00:00+00:00,Day 3 (72h),74.5,81.0,6.5,72.0
2026-08-23 11:00:00+00:00,Day 1 (24h),78.2,88.0,9.8,24.4
2026-08-23 11:00:00+00:00,Day 2 (48h),74.9,90.0,15.1,48.4
2026-08-23 11:00:00+00:00,Day 3 (72h),80.4,93.0,12.6,72.4
2026-08-25 15:00:00+00:00,Day 1 (24h),81.7,92.0,10.3,23.9
2026-08-25 15:00:00+00:00,Day 2 (48h),83.6,80.0,3.6,47.9
2026-08-25 15:00:00+00:00,Day 3 (72h),83.8,67.0,16.8,67.9
2026-08-27 16:00:00+00:00,Day 1 (24h),73.4,67.0,6.4,21.3
2026-08-27 16:00:00+00:00,Day 2 (48h),75.7,64.0,11.7,50.3
2026-08-27 16:00:00+00:00,Day 3 (72h),88.1,60.0,28.1,72.4
